mpp,PSZ2,MCXC,ACT,PSZ2(z),precision_PSZ2(z),found_PSZ2(z),all_true,found,precision,all
0.2475378590518105,0.01,0.018867924528301886,0.036093418259023353,0.012195121951219513,0.002421307506053269,1,0.03383458646616541,27,0.06537530266343826,413
0.2570354032997377,0.01,0.009433962264150943,0.036093418259023353,0.012195121951219513,0.0025974025974025974,1,0.03258145363408521,26,0.06753246753246753,385
0.2621705426463233,0.01,0.009433962264150943,0.03397027600849257,0.012195121951219513,0.002793296089385475,1,0.03132832080200501,25,0.06983240223463687,358
0.2705126567456517,0.01,0.009433962264150943,0.03397027600849257,0.012195121951219513,0.00303951367781155,1,0.02882205513784461,23,0.06990881458966565,329
0.2834445603725031,0.01,0.009433962264150943,0.03397027600849257,0.012195121951219513,0.0033003300330033004,1,0.02882205513784461,23,0.07590759075907591,303
0.2970615202435166,0.01,0.009433962264150943,0.029723991507430998,0.012195121951219513,0.003745318352059925,1,0.02631578947368421,21,0.07865168539325842,267
0.3125162456007269,0.01,0.009433962264150943,0.025477707006369428,0.012195121951219513,0.004132231404958678,1,0.023809523809523808,19,0.07851239669421488,242
0.3290178307351159,0.01,0.0,0.025477707006369428,0.012195121951219513,0.004784688995215311,1,0.022556390977443608,18,0.0861244019138756,209
0.3458003305785561,0.01,0.0,0.021231422505307854,0.012195121951219513,0.0053475935828877,1,0.018796992481203006,15,0.08021390374331551,187
0.3677040644277965,0.01,0.0,0.021231422505307854,0.012195121951219513,0.006060606060606061,1,0.018796992481203006,15,0.09090909090909091,165
0.3951707994817659,0.01,0.0,0.021231422505307854,0.012195121951219513,0.0070921985815602835,1,0.018796992481203006,15,0.10638297872340426,141
0.42083898536750985,0.01,0.0,0.01910828025477707,0.012195121951219513,0.008264462809917356,1,0.017543859649122806,14,0.11570247933884298,121
0.4583325992512213,0.01,0.0,0.014861995753715499,0.012195121951219513,0.010752688172043012,1,0.012531328320802004,10,0.10752688172043011,93
0.494067344507461,0.01,0.0,0.014861995753715499,0.012195121951219513,0.014925373134328358,1,0.011278195488721804,9,0.13432835820895522,67
0.5390076971521652,0.01,0.0,0.014861995753715499,0.012195121951219513,0.018867924528301886,1,0.010025062656641603,8,0.1509433962264151,53
0.5936664647329222,0.01,0.0,0.010615711252653927,0.012195121951219513,0.029411764705882353,1,0.007518796992481203,6,0.17647058823529413,34
0.6854969273146023,0.01,0.0,0.006369426751592357,0.012195121951219513,0.05,1,0.005012531328320802,4,0.2,20
0.8127969237836196,0.01,0.0,0.0021231422505307855,0.012195121951219513,0.16666666666666666,1,0.0012531328320802004,1,0.16666666666666666,6
0.995273370078676,0.01,0.0,0.0021231422505307855,0.012195121951219513,1.0,1,0.0012531328320802004,1,1.0,1
