mpp,PSZ2,MCXC,ACT,PSZ2(z),precision_PSZ2(z),found_PSZ2(z),all_true,found,precision,all
0.2475378590518105,0.01,0.018867924528301886,0.036093418259023353,0.012195121951219513,0.002421307506053269,1,0.03345070422535211,19,0.04600484261501211,413
0.2570354032997377,0.01,0.009433962264150943,0.036093418259023353,0.012195121951219513,0.0025974025974025974,1,0.03169014084507042,18,0.046753246753246755,385
0.2621705426463233,0.01,0.009433962264150943,0.03397027600849257,0.012195121951219513,0.002793296089385475,1,0.02992957746478873,17,0.04748603351955307,358
0.2705126567456517,0.01,0.009433962264150943,0.03397027600849257,0.012195121951219513,0.00303951367781155,1,0.02992957746478873,17,0.05167173252279635,329
0.2834445603725031,0.01,0.009433962264150943,0.03397027600849257,0.012195121951219513,0.0033003300330033004,1,0.02992957746478873,17,0.056105610561056105,303
0.2970615202435166,0.01,0.009433962264150943,0.029723991507430998,0.012195121951219513,0.003745318352059925,1,0.02640845070422535,15,0.056179775280898875,267
0.3125162456007269,0.01,0.009433962264150943,0.025477707006369428,0.012195121951219513,0.004132231404958678,1,0.022887323943661973,13,0.05371900826446281,242
0.3290178307351159,0.01,0.0,0.025477707006369428,0.012195121951219513,0.004784688995215311,1,0.02112676056338028,12,0.05741626794258373,209
0.3458003305785561,0.01,0.0,0.021231422505307854,0.012195121951219513,0.0053475935828877,1,0.017605633802816902,10,0.053475935828877004,187
0.3677040644277965,0.01,0.0,0.021231422505307854,0.012195121951219513,0.006060606060606061,1,0.017605633802816902,10,0.06060606060606061,165
0.3951707994817659,0.01,0.0,0.021231422505307854,0.012195121951219513,0.0070921985815602835,1,0.017605633802816902,10,0.07092198581560284,141
0.42083898536750985,0.01,0.0,0.01910828025477707,0.012195121951219513,0.008264462809917356,1,0.01584507042253521,9,0.0743801652892562,121
0.4583325992512213,0.01,0.0,0.014861995753715499,0.012195121951219513,0.010752688172043012,1,0.01232394366197183,7,0.07526881720430108,93
0.494067344507461,0.01,0.0,0.014861995753715499,0.012195121951219513,0.014925373134328358,1,0.01232394366197183,7,0.1044776119402985,67
0.5390076971521652,0.01,0.0,0.014861995753715499,0.012195121951219513,0.018867924528301886,1,0.01232394366197183,7,0.1320754716981132,53
0.5936664647329222,0.01,0.0,0.010615711252653927,0.012195121951219513,0.029411764705882353,1,0.008802816901408451,5,0.14705882352941177,34
0.6854969273146023,0.01,0.0,0.006369426751592357,0.012195121951219513,0.05,1,0.00528169014084507,3,0.15,20
0.8127969237836196,0.01,0.0,0.0021231422505307855,0.012195121951219513,0.16666666666666666,1,0.0017605633802816902,1,0.16666666666666666,6
0.995273370078676,0.01,0.0,0.0021231422505307855,0.012195121951219513,1.0,1,0.0017605633802816902,1,1.0,1
