mpp,PSZ2,MCXC,eROSITA,precision_eROSITA,found_eROSITA,PSZ2(z),precision_PSZ2(z),found_PSZ2(z),all_true,found,precision,all
0.2475375106351691,1.0,0.37142857142857144,0.1152317880794702,0.3785123966942149,229,1.0,0.06611570247933884,40,0.5111111111111111,232,0.3834710743801653,605
0.2570354032997377,1.0,0.37142857142857144,0.11390728476821192,0.3873720136518771,227,1.0,0.06825938566552901,40,0.5111111111111111,230,0.3924914675767918,586
0.2621653018946932,0.9827586206896551,0.37142857142857144,0.11081677704194261,0.39497307001795334,220,1.0,0.0718132854578097,40,0.5111111111111111,223,0.400359066427289,557
0.2705126567456517,0.9655172413793104,0.37142857142857144,0.10728476821192053,0.4015151515151515,212,1.0,0.07575757575757576,40,0.5111111111111111,215,0.4071969696969697,528
0.28342812962400066,0.9655172413793104,0.37142857142857144,0.10419426048565121,0.41448692152917505,206,1.0,0.08048289738430583,40,0.5111111111111111,209,0.42052313883299797,497
0.2970615202435166,0.9655172413793104,0.37142857142857144,0.10066225165562914,0.42795698924731185,199,1.0,0.08602150537634409,40,0.5111111111111111,202,0.4344086021505376,465
0.31246687383369554,0.9655172413793104,0.37142857142857144,0.09713024282560706,0.4360730593607306,191,1.0,0.091324200913242,40,0.5111111111111111,194,0.4429223744292237,438
0.3290136791970011,0.9655172413793104,0.35714285714285715,0.09359823399558499,0.4412470023980815,184,1.0,0.09592326139088729,40,0.5,187,0.44844124700239807,417
0.345734040905866,0.9310344827586207,0.32857142857142857,0.09050772626931568,0.4623376623376623,178,0.975,0.1012987012987013,39,0.4777777777777778,180,0.4675324675324675,385
0.3677040644277965,0.9310344827586207,0.3142857142857143,0.08653421633554084,0.4899135446685879,170,0.975,0.11239193083573487,39,0.4666666666666667,172,0.4956772334293948,347
0.3951707994817659,0.9137931034482759,0.3142857142857143,0.08256070640176601,0.5160256410256411,161,0.975,0.125,39,0.4666666666666667,163,0.5224358974358975,312
0.42083898536750985,0.9137931034482759,0.3142857142857143,0.07858719646799117,0.5387323943661971,153,0.975,0.13732394366197184,39,0.4666666666666667,155,0.545774647887324,284
0.4583325992512213,0.9137931034482759,0.3142857142857143,0.07549668874172186,0.5770750988142292,146,0.975,0.1541501976284585,39,0.4666666666666667,148,0.5849802371541502,253
0.4939407990865994,0.9137931034482759,0.3142857142857143,0.06710816777041943,0.6197183098591549,132,0.975,0.18309859154929578,39,0.4666666666666667,134,0.6291079812206573,213
0.5389739903016503,0.8793103448275862,0.3142857142857143,0.059602649006622516,0.65,117,0.95,0.2111111111111111,38,0.45555555555555555,118,0.6555555555555556,180
0.5936001787060641,0.8448275862068966,0.3,0.051655629139072845,0.7013888888888888,101,0.95,0.2638888888888889,38,0.4444444444444444,102,0.7083333333333334,144
0.6848931383283745,0.7758620689655172,0.2857142857142857,0.039735099337748346,0.7745098039215687,79,0.9,0.35294117647058826,36,0.4111111111111111,80,0.7843137254901961,102
0.8127969237836196,0.7068965517241379,0.2714285714285714,0.030463576158940398,0.8955223880597015,60,0.85,0.5074626865671642,34,0.3888888888888889,61,0.9104477611940298,67
0.9944872930477068,0.43103448275862066,0.18571428571428572,0.017218543046357615,0.9393939393939394,31,0.525,0.6363636363636364,21,0.24444444444444444,32,0.9696969696969697,33
