s/n,PSZ2,MCXC,ACT,PSZ2(z),precision_PSZ2(z),found_PSZ2(z),all_true,found,precision,all
5.05335105,0.017241379310344827,0.029411764705882353,0.04878048780487805,0.018867924528301886,0.003367003367003367,1,0.04699738903394256,18,0.06060606060606061,297
5.106937500000001,0.017241379310344827,0.014705882352941176,0.04878048780487805,0.018867924528301886,0.0036363636363636364,1,0.044386422976501305,17,0.06181818181818182,275
5.163059099999999,0.017241379310344827,0.014705882352941176,0.04573170731707317,0.018867924528301886,0.003816793893129771,1,0.04177545691906005,16,0.061068702290076333,262
5.2232980000000016,0.017241379310344827,0.014705882352941176,0.04573170731707317,0.018867924528301886,0.004149377593360996,1,0.04177545691906005,16,0.06639004149377593,241
5.29437,0.017241379310344827,0.014705882352941176,0.04573170731707317,0.018867924528301886,0.0045045045045045045,1,0.04177545691906005,16,0.07207207207207207,222
5.3639328,0.017241379310344827,0.014705882352941176,0.039634146341463415,0.018867924528301886,0.005025125628140704,1,0.03655352480417755,14,0.07035175879396985,199
5.43414885,0.017241379310344827,0.014705882352941176,0.03353658536585366,0.018867924528301886,0.005494505494505495,1,0.031331592689295036,12,0.06593406593406594,182
5.515713400000001,0.017241379310344827,0.0,0.03353658536585366,0.018867924528301886,0.006369426751592357,1,0.028720626631853787,11,0.07006369426751592,157
5.609742350000001,0.017241379310344827,0.0,0.027439024390243903,0.018867924528301886,0.007042253521126761,1,0.02349869451697128,9,0.06338028169014084,142
5.711204,0.017241379310344827,0.0,0.027439024390243903,0.018867924528301886,0.0078125,1,0.02349869451697128,9,0.0703125,128
5.832022100000001,0.017241379310344827,0.0,0.027439024390243903,0.018867924528301886,0.009009009009009009,1,0.02349869451697128,9,0.08108108108108109,111
5.966476200000002,0.017241379310344827,0.0,0.024390243902439025,0.018867924528301886,0.010526315789473684,1,0.020887728459530026,8,0.08421052631578947,95
6.12062285,0.017241379310344827,0.0,0.021341463414634148,0.018867924528301886,0.012987012987012988,1,0.018276762402088774,7,0.09090909090909091,77
6.2958075,0.017241379310344827,0.0,0.021341463414634148,0.018867924528301886,0.017543859649122806,1,0.018276762402088774,7,0.12280701754385964,57
6.52273275,0.017241379310344827,0.0,0.021341463414634148,0.018867924528301886,0.020833333333333332,1,0.018276762402088774,7,0.14583333333333334,48
6.826352000000003,0.017241379310344827,0.0,0.01524390243902439,0.018867924528301886,0.03225806451612903,1,0.013054830287206266,5,0.16129032258064516,31
7.2506403000000015,0.017241379310344827,0.0,0.009146341463414634,0.018867924528301886,0.05555555555555555,1,0.007832898172323759,3,0.16666666666666666,18
8.015295900000002,0.017241379310344827,0.0,0.003048780487804878,0.018867924528301886,0.16666666666666666,1,0.0026109660574412533,1,0.16666666666666666,6
10.066431499999998,0.017241379310344827,0.0,0.003048780487804878,0.018867924528301886,1.0,1,0.0026109660574412533,1,1.0,1
10.5,0.017241379310344827,0.0,0.003048780487804878,0.018867924528301886,1.0,1,0.0026109660574412533,1,1.0,1
