mpp,PSZ2,MCXC,ACT,eROSITA,precision_eROSITA,found_eROSITA,PSZ2(z),precision_PSZ2(z),found_PSZ2(z),all_true,found,precision,all
0.2475375106351691,0.9291907514450867,0.4222222222222222,0.21684475172847265,0.0980285855101035,0.271170895750535,1774,0.9647749510763209,0.07520635891164781,492,0.31354939476766885,1920,0.29348822989911344,6542
0.2570354032997377,0.9291907514450867,0.41555555555555557,0.213073538654934,0.09531789058649581,0.277741935483871,1722,0.9647749510763209,0.07935483870967742,492,0.3092541975790707,1867,0.30112903225806453,6200
0.2621653018946932,0.9263005780346821,0.4122222222222222,0.20930232558139536,0.09255791030064071,0.28508023216114714,1670,0.9647749510763209,0.08398770911573916,492,0.30613041780554473,1813,0.3094912939569819,5858
0.2705126567456517,0.9205202312138728,0.4077777777777778,0.20050282840980516,0.08950221784130113,0.2927936104556181,1613,0.9608610567514677,0.08894536213468869,490,0.29871144084342055,1751,0.31784352877110184,5509
0.28342812962400066,0.9132947976878613,0.4066666666666667,0.19484600879949718,0.0865943814687038,0.30197827773467806,1557,0.9549902152641878,0.09445306439100078,487,0.29441624365482233,1692,0.3281613653995345,5156
0.2970615202435166,0.9075144508670521,0.4022222222222222,0.18981772470144564,0.08334154756037457,0.31171809841534615,1495,0.949119373776908,0.10091743119266056,484,0.28855915657946113,1625,0.33882402001668055,4796
0.31246687383369554,0.8959537572254336,0.39555555555555555,0.1835323695788812,0.07979300147856087,0.31988343420757676,1427,0.9412915851272016,0.10782335799148172,481,0.2823115970324092,1552,0.34790405738623625,4461
0.3290136791970011,0.8872832369942196,0.3888888888888889,0.17661847894406035,0.07604731394775752,0.3330058939096267,1356,0.9354207436399217,0.11738703339882121,478,0.2756735650136665,1477,0.36272102161100195,4072
0.345734040905866,0.8757225433526011,0.38,0.16970458830923948,0.0728437654016757,0.3468022477923468,1296,0.9275929549902152,0.12683971099812685,474,0.2686450605232331,1412,0.37784318972437786,3737
0.3677040644277965,0.865606936416185,0.37777777777777777,0.16781898177247015,0.0696895022178413,0.3654867256637168,1239,0.9217221135029354,0.13893805309734514,471,0.2659117532213979,1351,0.3985250737463127,3390
0.3951707994817659,0.846820809248555,0.3622222222222222,0.16027655562539284,0.06545096106456383,0.38266315095583386,1161,0.9119373776908023,0.15359261700725116,466,0.2561499414291292,1266,0.41727092946605143,3034
0.42083898536750985,0.8410404624277457,0.35,0.15273412947831552,0.06121241991128635,0.40245261984392416,1083,0.9080234833659491,0.1724266072092159,464,0.24677860210855135,1183,0.4396135265700483,2691
0.4583325992512213,0.8280346820809249,0.3433333333333333,0.14833438089252043,0.05751601774273041,0.43228279386712093,1015,0.9021526418786693,0.19633730834752983,461,0.2405310425614994,1110,0.4727427597955707,2348
0.4939407990865994,0.8078034682080925,0.33666666666666667,0.14016341923318668,0.052784622966978806,0.45880611741489885,930,0.8864970645792564,0.22348297977306364,453,0.23194064818430302,1018,0.5022200296003947,2027
0.5389739903016503,0.7658959537572254,0.3244444444444444,0.12759270898805783,0.04760965993100049,0.4955383700178465,833,0.8571428571428571,0.26055919095776325,438,0.2174931667317454,900,0.5353955978584176,1681
0.5936001787060641,0.7297687861271677,0.3111111111111111,0.11313639220615965,0.04169541646131099,0.5338733431516937,725,0.821917808219178,0.30927835051546393,420,0.20187426786411558,785,0.5780559646539027,1358
0.6848931383283745,0.6589595375722543,0.2911111111111111,0.09742300439974859,0.034795465746673235,0.5903732809430255,601,0.7632093933463796,0.3831041257367387,390,0.1807887543928153,647,0.6355599214145383,1018
0.8127969237836196,0.5534682080924855,0.26,0.0785669390320553,0.02661409561360276,0.6681481481481482,451,0.6712328767123288,0.5081481481481481,343,0.1534556813744631,483,0.7155555555555555,675
0.9944872930477068,0.3352601156069364,0.17555555555555555,0.051539912005028284,0.01547560374568753,0.7857142857142857,253,0.4324853228962818,0.6863354037267081,221,0.09449433814916049,262,0.8136645962732919,322
